station,easting,northing,elevation
"21654",538009.632,6382926.994,100.000
"21655",538019.577,6382925.951,100.000
"21656",538029.523,6382924.907,100.000
"21657",538039.468,6382923.863,100.000
"21658",538049.414,6382922.819,100.000
"21659",538059.359,6382921.776,100.000
"21660",538069.304,6382920.732,100.000
"21661",538079.250,6382919.688,100.000
"21662",538089.195,6382918.644,100.000
"21663",538099.140,6382917.601,100.000
"21664",538109.086,6382916.557,100.000
"21665",538119.031,6382915.513,100.000
"21666",538128.977,6382914.469,100.000
"21667",538138.922,6382913.426,100.000
"21668",538148.867,6382912.382,100.000
"21669",538158.813,6382911.338,100.000
"21670",538168.758,6382910.294,100.000
"21671",538178.704,6382909.251,100.000
"21672",538188.649,6382908.207,100.000
"21673",538198.594,6382907.163,100.000
"21674",538208.540,6382906.119,100.000
"21675",538218.485,6382905.076,100.000
"21676",538228.430,6382904.032,100.000
"21677",538238.376,6382902.988,100.000
"21678",538248.321,6382901.944,100.000
"21679",538258.267,6382900.901,100.000
"21680",538268.212,6382899.857,100.000
"21681",538278.157,6382898.813,100.000
"21682",538288.103,6382897.770,100.000
"21683",538298.048,6382896.726,100.000
"21684",538307.993,6382895.682,100.000
"21685",538317.939,6382894.638,100.000
"21686",538327.884,6382893.595,100.000
"21687",538337.830,6382892.551,100.000
"21688",538347.775,6382891.507,100.000
"21689",538357.720,6382890.463,100.000
"21690",538367.666,6382889.420,100.000
"21691",538377.611,6382888.376,100.000
"21692",538387.557,6382887.332,100.000
"21693",538397.502,6382886.288,100.000
"21694",538407.447,6382885.245,100.000
"21695",538417.393,6382884.201,100.000
"21696",538427.338,6382883.157,100.000
"21697",538437.283,6382882.113,100.000
"21698",538447.229,6382881.070,100.000
"21699",538457.174,6382880.026,100.000
"21700",538467.120,6382878.982,100.000
"21701",538477.065,6382877.938,100.000
"21702",538487.010,6382876.895,100.000
"21703",538496.956,6382875.851,100.000
"21704",538506.901,6382874.807,100.000
"21705",538516.846,6382873.763,100.000
"21706",538526.792,6382872.720,100.000
"21707",538536.737,6382871.676,100.000
"21708",538546.683,6382870.632,100.000
"21709",538556.628,6382869.588,100.000
"21710",538566.573,6382868.545,100.000
"21711",538576.519,6382867.501,100.000
"21712",538586.464,6382866.457,100.000
"21713",538596.410,6382865.413,100.000
"21714",538606.355,6382864.370,100.000
"21715",538616.300,6382863.326,100.000
"21716",538626.246,6382862.282,100.000
"21717",538636.191,6382861.238,100.000
"21718",538646.136,6382860.195,100.000
"21719",538656.082,6382859.151,100.000
"21720",538666.027,6382858.107,100.000
"21721",538675.973,6382857.064,100.000
"21722",538685.918,6382856.020,100.000
"21723",538695.863,6382854.976,100.000
"21724",538705.809,6382853.932,100.000
"21725",538715.754,6382852.889,100.000
"21726",538725.699,6382851.845,100.000
"21727",538735.645,6382850.801,100.000
"21728",538745.590,6382849.757,100.000
"21729",538755.536,6382848.714,100.000
"21730",538765.481,6382847.670,100.000
"21731",538775.426,6382846.626,100.000
"21732",538785.372,6382845.582,100.000
